title,reviews
1461 3홀 모노 블랙 14345001,"복숭아뼈 닿을때마다 움찔거리긴 하는데
이뻐서 참고 신을만해요"
1461 3홀 모노 블랙 14345001,역시 믿고사는 닥터마틴 너무 예뻐용 우리형이 좋아해서 뺏어갔어요
1461 3홀 모노 블랙 14345001,"발 아플까봐 걱정했는데 저는 잘맞는지 편해요
그래도 처음엔 뒷꿈치에 밴드 붙였어요"
1461 3홀 모노 블랙 14345001,닥터마틴 찐 매니아 입니다 넘 예뻐요 벌써 3개째 신어요
1461 3홀 모노 블랙 14345001,"적당한 크기로 나왔습니다.
발볼이 크거나 하지는 않아서 따구맞느 것 같구요."
1461 3홀 모노 블랙 14345001,"나이키 운동화 240신어서 240샀는데 잘맞아요 ㅋ
벼르고 벼르다 산건데 마음에 듭니다 ㅋ 익숙해질때까지는 발이 아플것같아서 무섭긴하지만 이쁘니까 잘 길들여보려구요"
1461 3홀 모노 블랙 14345001,너무 맘에 듭니다! 길들여야할것같지만 너무 이뻐요!
1461 3홀 모노 블랙 14345001,"애용하던 신발이였는데 이제 보내줄 때가 돼서 새로 샀는데 정가가 올라서 아쉽,, 좀 일년 신어야 광 올라옴"
1461 3홀 모노 블랙 14345001,신고나서 보면 진짜 이뻐요 더비슈즈에 대해서 잘몰랐는데 데일리로 무난해요
1461 3홀 모노 블랙 14345001,사이즈 반업했는데 적당해요~ 무난하고 마음에 듭니다~
1461 3홀 모노 블랙 14345001,발볼 발등 넓고 높은 분들은 사이즈업이나 스무스모델 추천
1461 3홀 모노 블랙 14345001,좋아요 생각보다 그리 불편하지도 않고 포멀하게 입을때 도움 많이되는 느낌입니다
1461 3홀 모노 블랙 14345001,딱딱하지만 예뻐요. 잘 신고 다니겠습니다. 짱짱굿
1461 3홀 모노 블랙 14345001,오랫만에 닥터마틴 구입했는데 기본디자인이라 말할 것도 없이 마음에 듭니다. 나파가죽이 부드러워서 편하게 신기에 좋네요.
1461 3홀 모노 블랙 14345001,신기에도 편하고 자주 신을거 같아요 너무 이쁘네요!
1461 3홀 모노 블랙 14345001,내구성 최고라니까 오래신어봐야알거같아요 처음엔 발아플듯
1461 3홀 모노 블랙 14345001,보통 신발을 270~280 을 신는 편인데 280 주문했다가 좀 커서 고통받고있습니다^^; 저같은 분들은 270 신으시는걸 추천합니다
1461 3홀 모노 블랙 14345001,역시 닥터마틴이에요 신발이 너무 이쁘고 좋아요!
1461 3홀 모노 블랙 14345001,닥터마틴 3홀 오래 신을 수 있을 것 같아요 너무 예쁨
1461 3홀 모노 블랙 14345001,정말 귀엽습니다 깔끔하고 기본 디자인에 기본 색상이라 두루두루 잘 어울립니다
1461 3홀 모노 블랙 14345001,5사이즈가 없는게 아쉽네요 한사이즈 크게 샀는데 좀 많이 크네요
1461 3홀 모노 블랙 14345001,착화감 생각보다 괜찮고 첫 더비슈즈인데 이쁘네요
1461 3홀 모노 블랙 14345001,친구 대신 사줬는데 너무 만족하네요 입문용으로 적합한 것 같아요
1461 3홀 모노 블랙 14345001,아주 만족해요! 닥터마틴에서 가장 클래식하면서 패션어블한 코디가 가능해요!
1461 3홀 모노 블랙 14345001,배송도 잘 왔고 신발 너무 이쁘네요 감사합니다!! 잘 신겠습니다!!
1461 3홀 모노 블랙 14345001,"너무 예뻐요 닥터마틴 처음 사는데 몇몇 분들은 빽구두, 아저씨같다 그러고 몇 분들은 완전 예쁘다 그랬어요 제 눈에는 완전 사랑스러워요"
1461 3홀 모노 블랙 14345001,이쁘고 학교 갈때나 친구들 만날때 자주 손이가네요
1461 3홀 모노 블랙 14345001,역시나 실물 너무 예쁘고 재질도 완전 좋아서 최고입니다!!
1461 3홀 모노 블랙 14345001,너무 이쁘게 좋습니다 또 좋은 디자인있면 구매가각가기각
1461 3홀 모노 블랙 14345001,물집 잡히는 것을 예상하고 샀습니다. 어느 바지에나 잘 어울릴 것 같아요.
1461 3홀 모노 블랙 14345001,역시 닥터마틴 아즌 맘에 들고 색깔도 엄청 이뻐요
1461 3홀 모노 블랙 14345001,착화감은 좋은편은 역시 아닌거 같은데 이뻐요 신다보면 더 편해지겠죠 ㅎ
1461 3홀 모노 블랙 14345001,"270-275신어요
발볼 보통에 오른쪽발등만 높아요
270딱좋네야"
1461 3홀 모노 블랙 14345001,"평소 270 신는데 270 꽉 껴요 발볼러라 그런가

왜 5단위로 안나오는건가 닥마는

신발도 개 딱딱하면서"
1461 3홀 모노 블랙 14345001,"하자 없이 잘 왔어요. 컨버스 245 편하게 잘 신는편인데, 240으로 사니까 딱 좋네요. 모노/스무스/나파 고민중이었는데, 스무스 유광이 좀 부담스럽고 모노는 좀 더 날렵+발등 낮은 느낌이라 캐쥬얼한 느낌인 나파로 샀어요."
1461 3홀 모노 블랙 14345001,닥터마틴 신발은 항상 사보면 이뻐서 마음에 듭니다.
1461 3홀 모노 블랙 14345001,무아인 쿠폰으로 싸게 데려갑니다.. 이넘때문에 제 지갑이 배고파하네요
1461 3홀 모노 블랙 14345001,유튜브보고 구매했는데 상당히 만족스럽습니다
1461 3홀 모노 블랙 14345001,"면접에서 잘 신었고, 평상시에도 많이 신게 됩니다ㅎㅎ"
1461 3홀 모노 블랙 14345001,아빠 선물로 사줬는데 너무 좋아하네요 신는데 불편함 없고 편하다고 합니다. 추천합니다.
1461 3홀 모노 블랙 14345001,발볼이 조금 넓은 편인데 이 신발은 이상하게 악명과는 다르게 저와 잘 맞네요 ㅎㅎ 뉴발 270 신는데 딱히 불편한 점은 없습ㄴ다
1461 3홀 모노 블랙 14345001,너무 이쁘고 가성비가 좋아요 역시 무신사 자주 이용할께요.
1461 3홀 모노 블랙 14345001,닥터마틴 처음사보는데 딱딱해서 발아프긴하지만 두번째신을땐 훨씬편해요
1461 3홀 모노 블랙 14345001,가죽이여서 그런지 모르겠지만 딱딱해서 발이 약간 아픕니다
1461 3홀 모노 블랙 14345001,닥터마틴을 딱 상징하는 기본적인 모델이지 않나 싶네요. 뒷꿈치는 조금 아프니 보호대 사서 붙이고 신으시는거 추천합니다.
1461 3홀 모노 블랙 14345001,딱딱하고 무겁긴 한데 닥터마틴이니까^^ 예쁘게 잘 신을 것 같아요
1461 3홀 모노 블랙 14345001,예뻐요. 가끔 가다 한 번 씩 신어요. 계속 사고 싶었었는데 기회 보다 저렴하게 샀습니다.
